name,brand,model,sku,price,rating,rating_amount,_connection_,_type_,_battery_,_microphone_,_noise_,_water_,_UPC_
Sony - WH-L600 RF Digital Surround Wireless Headphones - Black,Sony,WHL600/B,6211542,299.98,4.3,105,1,,17,0,isolate,,
JVC - HA FX39BT Marshmallow Wireless In-Ear Headphones - Black,JVC,HA-FX39BTB,5792102,49.99,3.7,1325,1,in,14,1,isolate,resist,
Skullcandy - Set In-Ear Sport Headphones - Olive/Moss,Skullcandy,S2MEY-M687,6411922,29.99,4.4,253,0,in,,1,cancel,resist,
JVC - Over-Ear/On-Ear Wireless Headphones - Black,JVC,HAXP50BT,6412844,112.99,,,1,over,,0,isolate,,46838078460
Skullcandy - Ink'D+ Wired In-Ear Headphones - Black,Skullcandy,S2IMY-M448,6346739,17.99,4.3,770,0,in,,1,isolate,,
Sony - WHRF400 RF Wireless Headphones - Black,Sony,WHRF400,6267219,119.99,4.3,1197,1,,20,0,isolate,,
JVC - Gumy Plus Wired Earbud Headphones - Red,JVC,HAFR6R,1997422,11.99,4.2,3904,0,in,,1,isolate,resist,
Audio-Technica - Audio Technica ATHANC900BT Noise Cancelling Bluetooth Headphones - Black,Audio-Technica,AUD ATHANC900BT,6423551,314.99,,,1,,35,1,cancel,,
JVC - Gumy Sport Wireless Bluetooth Headphones - Black,JVC,HAEN15WB,6415425,29.99,4,8,1,in,6.5,1,isolate,resist,
Culture Audio - V1 Wireless Noise Cancelling Over-the-Ear Headphones - Black,Culture Audio,CLTV1BLK,6383832,149.99,5,1,1,,30,1,cancel,,
Sennheiser - IE 800 S Wired Earbud Headphones - Matte Black,Sennheiser,IE 800 S,6157100,999.98,5,1,0,in,,1,isolate,,
JVC - Gumy True Wireless - White,JVC,HAA7TW,6425216,29.99,4.4,96,1,in,9,1,isolate,resist,
Samson - Zi100 Wired In-Ear Headphones - Transparent,Samson,SAZI100,6387841,97.99,3,2,0,in,,0,isolate,resist,
JLab Audio - Fit Sport Fitness Earbuds Wireless In-Ear Headphones - Black,JLab Audio,EBFITSPORTRBLK123,6290530,29.99,3.9,1208,1,in,6,1,isolate,resist,
Skullcandy - Sesh Evo In-Ear True Wireless Headphones - Blue,Skullcandy,S2TVW-N893,6439111,59.99,,,1,in,,0,isolate,,8.10016E+11
